Facility Identifier,Accessibility,GlobalID,Area (Acres),LOCDESC,SIZE1,LASTUPDATE,LASTEDITOR,SIZE2,SIZE3,CatchID,DrainID,INSPECTED,FACTYPE,JURISDICTI,MANAGEMENT,PRIORITY,FLOWMONITSTATUS,FLOWMONITDEPLOY,FLOWMONITRETURN,NEXTINSPECTION,POINT_X,POINT_Y,PERSISTENTFLOW,FACILITYID,SURVEYLINK,ACCESSIBILITY,FLOWMEASCOUNT,LASTDISCHARGE,LASTDISCHARGETREND,AVGFLOWWIDTH,AVGFLOWDEPTH,AVGFLOWVEL,AVGDISCHARGE,MAXDISCHARGE,MINDISCHARGE,PRIORITIZATIONSCORE2022,SAMPLECHWSRSDRY,SAMPLECHWSRSWET,SAMPLEDRY,SAMPLEWET,OCFSLOCATION
L01-727-2,Easily accessible,{B9983359-9D26-40FE-905C-4936B6ED0548},0.72723724,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,727,L01,1,0,DANA POINT,SOUTH,1,NA,NA,NA,NA,-117.6797341,33.47419329,Unknown,L01-727-2,NA,1,13,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-727-3,Easily accessible,{F5B625B6-1B6F-4CA5-84AD-4CBD11F17148},4.74021882,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,727,L01,1,0,DANA POINT,SOUTH,1,NA,NA,NA,NA,-117.6801375,33.47155114,Unknown,L01-727-3,NA,1,7,0,Below Average Discharge,1.77142857,0.00357142,2.71428571,0.007959,0.03,0,NA,NA,NA,NA,NA,NA
L01-728-2,Difficult accessibility,{A59E35B2-C9EC-4E24-9DB6-266C60FCB072},95.97299313,CalTrans outfall per LZ.  Need to verify drainage ,54,2023-01-24T22:59:37Z,OCPWPublisher,NA,NA,728,L01,1,0,DANA POINT,SOUTH,1,NA,NA,NA,NA,-117.6822051,33.46469611,Yes,L01-728-2,NA,2,8,0.005202,20% Or More Above Average Discharge,0.37125,0.009375,10.99,0.002166,0.00525,0,NA,NA,NA,NA,NA,NA
L01-728-3 (L01S02),Easily accessible,{2A977DCC-7E53-4D85-94F4-061F90A75327},1014.018622,L01S02,NA,2022-10-05T21:12:21Z,OCENVRESUSER,11.5,11,728,L01,1,1,DANA POINT,SOUTH,1,NA,NA,NA,NA,-117.6821413,33.46552248,Yes,L01-728-3 (L01S02),NA,1,21,0.184615,Below Average Discharge,5.56428571,0.12114285,10.72238095,0.426948,3.1104,0.12,NA,NA,NA,NA,NA,1
L01-728-4,Easily accessible,{87F2F346-2A95-465B-9529-A030D3DAEC5F},79.2189438,NA,30,2022-11-17T16:51:46Z,OCPWPublisher,NA,NA,728,L01,1,0,DANA POINT,SOUTH,1,NA,NA,NA,NA,-117.6825898,33.46675048,Unknown,L01-728-4,NA,1,3,0.021,20% Or More Above Average Discharge,0.23333333,0.01,2,0.007,0.021,0,NA,NA,NA,NA,NA,NA
L01-728-5 (L01-DP),Easily accessible,{239C7351-6675-4B26-B959-1D8B4D6371A5},24.72372499,L01-DP,60,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,728,L01,1,0,DANA POINT,SOUTH,2,3,2016-12-12T00:00:00Z,2017-01-26T00:00:00Z,NA,-117.6822234,33.46822415,Yes,L01-728-5 (L01-DP),NA,1,22,0.016,20% Or More Above Average Discharge,0.68181818,0.02504545,13.35590909,0.011925,0.087273,0.00159,22,NA,NA,1,NA,NA
L01-728-6,Easily accessible,{997F43C3-4A2E-4C65-8310-72694AD8EF59},4.46590424,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,728,L01,1,0,DANA POINT,SOUTH,1,NA,NA,NA,NA,-117.6809003,33.46971487,Unknown,L01-728-6,NA,1,15,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-728-7 (L01S03),Easily accessible,{9ABFED9B-C141-47FC-9A23-685026E584F9},185.6756207,"L01S03 - nested, not an outfall",NA,2023-01-24T18:44:51Z,OCPWPublisher,84,96,728,L01,3,1,DANA POINT,SOUTH,1,3,2017-05-10T00:00:00Z,2017-09-07T00:00:00Z,NA,-117.6796469,33.46920039,Yes,L01-728-7 (L01S03),NA,1,13,0.07475,Below Average Discharge,4.59846153,0.17838461,53.49846153,0.147308,0.75,0.022989,NA,NA,NA,NA,NA,NA
L01-728-8d,Easily accessible,{7A1311A3-7766-418C-8495-C9A419F65188},NA,DSB-4 outfall may be  buried previous inspections at culvert along PCH,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,728,L01,1,0,DANA POINT,SOUTH,1,NA,NA,NA,NA,-117.6773807,33.46066735,Unknown,L01-728-8d,NA,1,10,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-728-9,Easily accessible,{74BEFDA9-4138-4459-9D5E-A60F88FD79B2},NA,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,728,L01,1,0,DANA POINT,SOUTH,1,NA,NA,NA,NA,-117.6810971,33.47077265,Unknown,L01-728-9,NA,1,16,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-730-1,Difficult accessibility,{58435AF7-EDAB-42CB-9CEF-56F94E800788},32.58238943,NA,36,2022-10-03T23:48:32Z,OCENVRESUSER,NA,NA,730,L01,1,0,RANCHO SANTA MARGARITA,SOUTH,1,NA,NA,NA,NA,-117.5638953,33.62428099,Yes,L01-730-1,NA,2,11,0.006,Below Average Discharge,0.51818181,0.02636363,6,0.023405,0.126,0.002,NA,NA,NA,NA,NA,NA
L01-731-1 (L08TBN2),Difficult accessibility,{3FE0C68B-3BC3-480E-9B51-1965BD8A122E},1093.304676,L08TBN2 - Dove Canyon Golf Course off Sycamore Canyon Dr,108,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,731,L01,1,0,RANCHO SANTA MARGARITA,SOUTH,1,NA,NA,NA,NA,-117.5660083,33.625156,Yes,L01-731-1 (L08TBN2),NA,2,15,0.042,Below Average Discharge,1.958,0.13788666,5.93133333,0.314453,1.124197,0.038494,NA,NA,NA,1,NA,NA
L01-733-2,Easily accessible,{0730A3D5-1756-4C6A-B21F-59D067D3F0B4},120.4291666,NA,48,2022-10-04T00:26:11Z,OCENVRESUSER,NA,NA,733,L01,1,0,ORANGE CO,SOUTH,2,NA,NA,NA,NA,-117.5827069,33.62048952,Yes,L01-733-2,NA,1,3,0.0975,Below Average Discharge,2.26666666,0.04666666,5.33333333,0.113928,0.154286,0.09,55,NA,NA,NA,NA,NA
L01-733-4,Easily accessible,{ED00D5DA-856D-4A09-BD27-B31F6E37C9A8},50.68731652,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,733,L01,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.5767258,33.62235401,Unknown,L01-733-4,NA,1,8,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-733-5,Easily accessible,{9C18A820-40CA-4CA4-B141-8DA9C8401AC6},NA,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,733,L01,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.5767415,33.62234264,Unknown,L01-733-5,NA,1,10,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-733-7,Easily accessible,{A7A8FD25-EE3B-48B7-BEA2-B78102735AA7},NA,Coto de Caza East,36,2022-09-23T21:48:53Z,OCENVRESUSER,NA,NA,NA,NA,1,0,ORANGE CO,SOUTH,NA,NA,NA,NA,NA,-117.582439,33.61548064,Yes,L01-733-7,NA,1,4,0.016891,Below Average Discharge,0.8175,0.0575,4.17,0.069986,0.145455,0.016891,NA,NA,NA,NA,NA,NA
L01-747-1,Easily accessible,{5F6222C0-DE3F-465B-ACE2-7BCF51145055},132.6155269,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,747,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6345061,33.5089042,Yes,L01-747-1,NA,1,2,0.06,20% Or More Above Average Discharge,0.45,0.1,6,0.045,0.06,0.03,NA,NA,NA,NA,NA,NA
L01-747-2,Difficult accessibility,{09587147-64CF-499E-B6F3-CA0AB4A5BB40},240.6167204,San Juan Creed Rd @ Lacouague,84,2022-10-03T23:48:56Z,OCENVRESUSER,NA,NA,747,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,3,2016-08-18T07:00:00Z,2016-10-05T07:00:00Z,NA,-117.6330118,33.51061235,Yes,L01-747-2,NA,2,15,0.0625,20% Or More Above Average Discharge,1.11133333,0.03546666,13.892,0.026835,0.069903,0.005,NA,NA,NA,NA,NA,NA
L01-748-1,Easily accessible,{A91AE436-24A4-4432-8197-13B5F01E53A6},99.91794386,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,748,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6428321,33.50404847,Unknown,L01-748-1,NA,1,3,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-748-2,Easily accessible,{DBC981FA-992C-4171-A16D-E171B6935A16},NA,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,748,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6428152,33.50406011,Yes,L01-748-2,NA,1,3,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-749-2d,Easily accessible,{F974B699-BEF5-4874-8BF5-762E5BABC0EC},NA,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,749,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,NA,NA,NA,NA,NA,-117.640286,33.50766038,Yes,L01-749-2d,NA,1,2,0.083505,Above Average Discharge,1.85,0.275,38.2,0.081752,0.083505,0.08,NA,NA,NA,NA,NA,NA
L01-749-3,Easily accessible,{F283626A-51CD-43CB-A8FF-746A67B87B2B},41.93011742,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,749,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6389212,33.50819651,Unknown,L01-749-3,NA,1,10,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-749-5,Easily accessible,{AAAA11DA-67C2-4E13-B18E-11AAEBB0B8F5},NA,L01-estenagaAdded,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,749,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,NA,NA,NA,NA,NA,-117.636421,33.509183,Unknown,L01-749-5,NA,1,4,0,Below Average Discharge,0.65,0.7675,91.175,0.008383,0.0324,0,NA,NA,NA,NA,NA,NA
L01-760-1,Easily accessible,{304B7146-FAA4-4C9E-85D8-E0AE384F357F},33.51045004,Coto de Caza,48,2022-10-04T00:26:16Z,OCENVRESUSER,NA,NA,760,L01,1,0,ORANGE CO,SOUTH,2,3,2016-08-17T07:00:00Z,2016-09-01T07:00:00Z,NA,-117.5888937,33.5654904,Yes,L01-760-1,NA,1,16,0.062857,20% Or More Above Average Discharge,0.558125,0.020625,4.42125,0.019203,0.062857,0.0048,40,NA,NA,NA,NA,NA
L01-760-2,Easily accessible,{2E56C3AD-25AB-4A1C-95D5-7D91A1E793FA},32.57431395,NA,60,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,760,L01,1,0,ORANGE CO,SOUTH,2,3,2016-08-15T07:00:00Z,2016-10-04T07:00:00Z,NA,-117.5876262,33.56826629,Yes,L01-760-2,NA,1,20,0.087273,Above Average Discharge,1.236,0.0751,8.5395,0.075871,0.22,0.0198,45,NA,NA,NA,NA,1
L01-766-2 (L01S06),Easily accessible,{6B1E2EC8-33C0-45FC-B9F2-95DAAD8E87F9},245.406225,L01S06 - Via Madrigal,NA,2023-10-26T17:33:22Z,OCENVRESUSER,10,5,766,L01,1,1,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6721518,33.48591622,Unknown,L01-766-2 (L01S06),NA,1,22,0.203704,Above Average Discharge,5.14727272,0.04818181,6.87318181,0.180442,0.450626,0.032,NA,NA,NA,NA,NA,NA
L01-766-3,Easily accessible,{36C58593-1762-4673-9666-5809B7EDC846},369.9801956,NA,NA,2022-10-04T00:28:51Z,OCENVRESUSER,12,7,766,L01,1,1,SAN JUAN CAPISTRANO,SOUTH,2,NA,NA,NA,NA,-117.6702887,33.48601029,Yes,L01-766-3,NA,1,9,0.008571,Above Average Discharge,0.36666666,0.00666666,3.88888888,0.00798,0.06,0,9,NA,NA,NA,NA,NA
L01-766-4,Difficult accessibility,{48ACB168-9928-43C5-AAD8-5119F46F8CD3},25.87303207,San Juan Creek Trail,48,2022-10-04T23:37:47Z,OCENVRESUSER,NA,NA,766,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6675898,33.487744,Unknown,L01-766-4,NA,2,8,0,Below Average Discharge,0.125,0.0025,4.75,0.001979,0.015,0,NA,NA,NA,NA,NA,NA
L01-766-5,Difficult accessibility,{318F725A-895C-4980-B214-CEAEA72603EF},63.97582891,NA,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,766,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6667953,33.48754274,Unknown,L01-766-5,NA,2,11,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-766-7,Easily accessible,{2A3C4022-F5F9-4E4D-864F-F04AB86095CF},56.73310957,NA,42,2022-10-04T23:37:32Z,OCENVRESUSER,NA,NA,766,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.663183,33.49229639,Unknown,L01-766-7,NA,1,10,2.62E-04,Below Average Discharge,0.161,0.003,14.058,8.59E-04,0.007,0,NA,NA,NA,NA,NA,NA
L01-766-8,Easily accessible,{F793BB7D-2AA5-48FA-8294-218E3F3B93B5},NA,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,766,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6623525,33.49262805,Unknown,L01-766-8,NA,1,13,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L01-766-9,Easily accessible,{897EC9EE-5CAB-4DFE-896A-03DD917D9C2F},NA,San Juan Hills Golf Club,58,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,766,L01,1,0,SAN JUAN CAPISTRANO,SOUTH,2,NA,NA,NA,NA,-117.655642,33.496535,Yes,L01-766-9,NA,1,3,0.1,Below Average Discharge,2.93333333,0.23333333,25.33333333,0.173904,0.24,0.1,48,NA,NA,1,NA,NA
L02-166-1 (L02PXX),Difficult accessibility,{16A76DB0-63C1-4ED7-8125-2F40FB1F2F53},77.28378749,L02PXX,54,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,166,L02,1,0,RANCHO SANTA MARGARITA,SOUTH,1,NA,NA,NA,NA,-117.6196135,33.6364723,Unknown,L02-166-1 (L02PXX),NA,2,8,0.05608,20% Or More Above Average Discharge,0.79,0.0425,5.87375,0.041916,0.135,0.00625,NA,NA,NA,NA,NA,NA
L02-166-2 (L02P25),Easily accessible,{FF3574C5-E460-4A7F-94BD-7DEF35298977},363.9529338,L02P25,90,2022-10-05T21:21:27Z,OCENVRESUSER,NA,NA,166,L02,1,0,RANCHO SANTA MARGARITA,SOUTH,1,3,2016-10-04T07:00:00Z,2016-12-08T08:00:00Z,NA,-117.6178921,33.63763055,Unknown,L02-166-2 (L02P25),NA,1,18,0.21,Below Average Discharge,1.49166666,0.08461111,3.68666666,0.241467,0.559565,0.086349,NA,NA,NA,NA,1,NA
L02-166-3 (L02P26),Easily accessible,{AED9AC9A-14FC-4E0A-BDF2-5D947063BA3D},494.6852,L02P26 - Las Fieras and Via Babera,96,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,166,L02,1,0,RANCHO SANTA MARGARITA,SOUTH,2,3,2016-06-01T07:00:00Z,2016-06-15T07:00:00Z,NA,-117.6137954,33.64461309,Yes,L02-166-3 (L02P26),NA,1,22,0.04033,Below Average Discharge,1.25045454,0.0689409,4.10772727,0.166774,0.661143,0.025714,83,NA,NA,1,NA,1
L02-198-1 (L02P29),Easily accessible,{B9C33AB1-61DE-417E-AE9D-511CF2D50E19},NA,L02P29,36,2022-10-04T00:29:11Z,OCENVRESUSER,NA,NA,198,L02,1,0,RANCHO SANTA MARGARITA,SOUTH,2,NA,NA,NA,NA,-117.6262212,33.6089755,Yes,L02-198-1 (L02P29),NA,1,5,0.016457,20% Or More Above Average Discharge,0.38,0.0152,5.75,0.009971,0.016457,0.0016,43,NA,NA,NA,NA,NA
L02-204-1 (L02P45),Difficult accessibility,{41CB5673-9B11-493E-B0F9-13C85AD6312E},53.98208335,L02P45 (access at Arroyo Vista and Paraiso),42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,204,L02,1,0,RANCHO SANTA MARGARITA,SOUTH,1,NA,NA,NA,NA,-117.6233178,33.61913433,Unknown,L02-204-1 (L02P45),NA,2,9,0.013333,Below Average Discharge,0.72222222,0.02555555,5.93666666,0.021742,0.06,0.003333,NA,NA,NA,NA,NA,NA
L02-246-1 (L11P01),Easily accessible,{47F2CB46-F01F-4454-981E-098E7CCE32F4},228.0301028,L11P01,66,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,640,L02,1,0,RANCHO SANTA MARGARITA,SOUTH,2,3,2016-06-16T07:00:00Z,2016-06-30T07:00:00Z,NA,-117.6166004,33.6104653,Yes,L02-246-1 (L11P01),NA,5,20,0.0616,Above Average Discharge,1.205,0.072,10.7995,0.051586,0.093976,0.006685,71,NA,NA,1,NA,NA
L02-344-1,Easily accessible,{AE100243-D2E2-4C52-A74B-B024BF8A3C36},178.3182714,NA,72,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,344,L02,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.6286899,33.59197631,Unknown,L02-344-1,NA,1,6,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L02-344-2,Easily accessible,{E885A8CA-0AA1-47CD-A582-4DCD7E616FC7},NA,Acorn Ridge - next to dissipator,40,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,344,L02,1,0,ORANGE CO,SOUTH,NA,NA,NA,NA,NA,-117.6286028,33.59189214,Yes,L02-344-2,NA,1,4,0.06,Below Average Discharge,3.45,0.745,35,0.408144,0.977778,0.06,NA,NA,NA,NA,NA,NA
L02-359-1 (L02P43),Easily accessible,{5281A820-F1BE-47B1-99ED-ECE4A151A02B},92.45754976,L02P43,45,2022-06-17T19:18:15Z,OCPWPublisher,NA,NA,359,L02,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.6402344,33.57846935,Yes,L02-359-1 (L02P43),NA,2,6,0.0045,Below Average Discharge,0.40833333,0.01683333,7.83333333,0.010162,0.04,0,NA,NA,NA,NA,NA,NA
L02-366-1 (MVL02P14),Difficult accessibility,{34BE191E-FD69-4347-A83F-3FDAA41E39CE},198.8224381,MVL02P14,72,2022-10-03T23:52:11Z,OCENVRESUSER,NA,NA,366,L02,1,0,MISSION VIEJO,SOUTH,1,2,2017-08-08T17:41:05Z,NA,NA,-117.651036,33.57029493,Yes,L02-366-1 (MVL02P14),NA,2,12,0.165,20% Or More Above Average Discharge,0.70916666,0.04375,5.55833333,0.039306,0.165,0.012,NA,NA,NA,NA,NA,NA
L02-374-1 (L02P50),Easily accessible,{5DF64E4A-01D2-4F6C-919E-DCBB0BDD3E55},456.4819718,L02P50,102,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,374,L02,1,0,ORANGE CO,SOUTH,2,3,2016-05-25T07:00:00Z,2016-06-09T07:00:00Z,NA,-117.6460125,33.56985508,Yes,L02-374-1 (L02P50),NA,1,19,0.196,Below Average Discharge,1.34263157,0.08401578,3.76736842,0.197378,0.684,0.042,66,NA,NA,1,NA,NA
L02-374-2 (MVL02P20),Easily accessible,{B1A00FFE-8CDF-4358-8FDF-A6FA58C9C0BA},84.33765496,MVL02P20,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,374,L02,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.6455891,33.57276685,Unknown,L02-374-2 (MVL02P20),NA,1,7,0,Below Average Discharge,0.35,0.015,6,0.008624,0.0408,0,NA,NA,NA,NA,NA,NA
L02-396-1,Easily accessible,{516167D7-3F5E-403F-A9CA-5AC1AB5EBF37},193.7352858,Upstream of outlet pipe near L02,64,2022-10-04T00:29:50Z,OCENVRESUSER,NA,NA,396,L02,1,0,MISSION VIEJO,SOUTH,2,3,2016-11-16T08:00:00Z,2016-12-08T08:00:00Z,NA,-117.653792,33.56347893,Yes,L02-396-1,NA,1,11,0.03375,20% Or More Above Average Discharge,0.73363636,0.02790909,6.80181818,0.024038,0.1,0.004,47,NA,NA,NA,NA,NA
L02-401-1,Easily accessible,{14FA5899-75CF-4C8D-8DBB-69BF4CCF982A},199.4849204,NA,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,401,L02,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.6523552,33.56202999,Yes,L02-401-1,NA,1,1,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L02-401-2 (COL02P55),Easily accessible,{6D0EBCA6-4D3F-4C1C-894E-0641CFB65C37},116.8631183,COL02P55,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,401,L02,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.6507363,33.56248669,Yes,L02-401-2 (COL02P55),NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L02-502-1,Unsafe accessibility,{80AEE061-5CEE-4A9A-91C8-024626A1725A},371.7262534,Double Box,NA,2022-05-19T15:43:40Z,OCENVRESUSER,7,3,502,L02,1,1,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6683659,33.52458357,Unknown,L02-502-1,NA,3,3,0,Below Average Discharge,1.16666666,0.01666666,5,0.026428,0.064286,0,NA,NA,NA,NA,NA,NA
L02-502-5,Difficult accessibility,{3912E472-E933-4D2C-AB01-D62EBFBB52E2},NA,TC- by 5 fwy ,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,502,L02,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6699,33.52713039,Unknown,L02-502-5,NA,2,11,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L02-502-6,Inaccessible,{C5BC5588-D77D-4EF7-9CE0-E8B1DCFE0385},39.57525956,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,502,L02,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6692307,33.53046796,Unknown,L02-502-6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L02-541-2,Easily accessible,{80D3DC2F-82C1-41D7-B291-FBE03B0CC399},7.06807992,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,541,L02,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.665789,33.49815467,Unknown,L02-541-2,NA,1,10,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L02-541-6,Easily accessible,{182F8328-651A-4982-91BA-8A69837B2509},17.62492719,NA,48,2022-10-04T00:30:02Z,OCENVRESUSER,NA,NA,541,L02,1,0,SAN JUAN CAPISTRANO,SOUTH,2,NA,NA,NA,NA,-117.6661049,33.49978079,Yes,L02-541-6,NA,1,4,9.37E-04,Below Average Discharge,0.725,0.0075,27.4,0.002091,0.006,0,34,NA,NA,NA,NA,NA
L02-541-7,Easily accessible,{610DC3A7-793E-4344-A914-88E70E636144},24.77553865,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,541,L02,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6664785,33.49992872,Unknown,L02-541-7,NA,1,14,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L02-541-9 (L02P02),Easily accessible,{6FE5A355-7E45-4A1E-8A7B-8CD7AB8F0640},222.3651545,L02P02,NA,2022-10-04T23:37:42Z,OCENVRESUSER,72,90,541,L02,1,1,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6675175,33.50399068,Yes,L02-541-9 (L02P02),NA,1,13,0.037975,Below Average Discharge,0.95923076,0.06692307,11.82153846,0.048641,0.275625,0.0039,NA,NA,NA,NA,NA,NA
L02-571-1,Easily accessible,{63E80B56-44CC-47BE-96A0-96E180F51F4A},36.03365204,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,571,L02,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6661203,33.49086976,Unknown,L02-571-1,NA,1,11,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
L02-571-3,Easily accessible,{3871EFB2-8754-476F-9342-3419290C4138},7.43114254,NA,42,2022-10-04T00:30:05Z,OCENVRESUSER,NA,NA,571,L02,1,0,SAN JUAN CAPISTRANO,SOUTH,2,NA,NA,NA,NA,-117.6658002,33.49529812,Yes,L02-571-3,NA,1,8,0,Below Average Discharge,0.235,0.0075,44.575,6.07E-04,0.00325,0,26,NA,NA,NA,NA,NA
L02-571-5 (L02TBN2),Easily accessible,{84E0BC14-2EA7-43A4-9B95-F0347A2814D5},220.7886165,L02TBN2,78,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,571,L02,1,0,SAN JUAN CAPISTRANO,SOUTH,1,NA,NA,NA,NA,-117.6660482,33.49772412,Yes,L02-571-5 (L02TBN2),NA,1,11,0,Equal,0.05454545,0.00454545,0,0,0,0,NA,NA,NA,NA,NA,NA
L02-622-1 (L02P28),Difficult accessibility,{A8A6C5E9-EB4C-4FB5-8B4D-A18B9FBF9A32},256.9319517,L02P28,54,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,622,L02,1,0,RANCHO SANTA MARGARITA,SOUTH,1,NA,NA,NA,NA,-117.6157749,33.63591715,Unknown,L02-622-1 (L02P28),NA,2,7,0,Below Average Discharge,0.27714285,0.04,2.68428571,0.014251,0.0825,0,NA,NA,NA,NA,NA,NA
L02-622-2 (L02P32),Difficult accessibility,{5F2234C7-A979-43B9-AF39-605D9C45E5BC},571.5418929,L02P32; O'Neill Regional Park,72,2022-10-04T00:31:09Z,OCENVRESUSER,NA,NA,622,L02,1,0,RANCHO SANTA MARGARITA,SOUTH,1,3,2017-05-05T00:00:00Z,2017-08-13T00:00:00Z,NA,-117.6024743,33.64724654,Yes,L02-622-2 (L02P32),NA,2,13,0.12,Above Average Discharge,0.91461538,0.05307692,3.35307692,0.100282,0.231,0.021,NA,NA,NA,NA,NA,NA
L02-640-1 (L11P02),Unsafe accessibility,{8E259E70-CE94-4F00-A10B-A23719A46C04},508.8455639,L11P02,90,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,640,L02,1,0,RANCHO SANTA MARGARITA,SOUTH,1,3,2016-09-01T00:00:00Z,2016-10-04T22:49:33Z,NA,-117.6092377,33.61878658,Unknown,L02-640-1 (L11P02),NA,3,6,0.54,20% Or More Above Average Discharge,1.23333333,0.09,4.16666666,0.163333,0.54,0,NA,NA,NA,NA,NA,NA
